pickups_dt,borough,pickups,spd,vsb,temp,dewp,slp,pcp01,pcp06,pcp24,sd,hday,class,clients_ids,clients_names,clients_genders,drLoc,clients_num,arrv_time
01-01-15 1:00,Bronx,152,5,10,30,7,1023.5,0,0,0,0,Y,carpool,61369502,abdulrahman,male,,1,10:20:09 PM
01-01-15 1:00,Brooklyn,1519,5,10,30,7,1023.5,0,0,0,0,Y,premium,17513147,nada,female,,1,6:37:19 AM
01-01-15 1:00,EWR,0,5,10,30,7,1023.5,0,0,0,0,Y,premium,2254288,yara,female,,1,7:44:06 PM
01-01-15 1:00,Manhattan,5258,5,10,30,7,1023.5,0,0,0,0,Y,carpool,32036804,yara,female,,1,5:45:40 PM
01-01-15 1:00,Queens,405,5,10,30,7,1023.5,0,0,0,0,Y,economy,29056322,sameh,other,,1,10:08:50 AM
01-01-15 1:00,Staten Island,6,5,10,30,7,1023.5,0,0,0,0,Y,carpool,32078703,mahmoud,female,,1,9:33:44 AM
01-01-15 1:00,NA,4,5,10,30,7,1023.5,0,0,0,0,Y,accessibility,13277651,amira,female,,1,11:31:52 AM
01-01-15 2:00,Bronx,120,3,10,30,6,1023,0,0,0,0,Y,carpool,41781779,john,other,,1,1:27:25 PM
01-01-15 2:00,Brooklyn,1229,3,10,30,6,1023,0,0,0,0,Y,carpool,84407833,abdulrahman,female,,1,10:16:30 PM
01-01-15 2:00,EWR,0,3,10,30,6,1023,0,0,0,0,Y,accessibility,56193552,toka,female,,1,1:46:54 AM
01-01-15 2:00,Manhattan,4345,3,10,30,6,1023,0,0,0,0,Y,premium,74279780,amira,female,,1,5:44:07 AM
01-01-15 2:00,Queens,331,3,10,30,6,1023,0,0,0,0,Y,carpool,35624477,hadeer,other,,1,6:50:53 AM
01-01-15 2:00,Staten Island,7,3,10,30,6,1023,0,0,0,0,Y,accessibility,46071714,mohamod,other,,1,4:33:59 AM
01-01-15 2:00,NA,11,3,10,30,6,1023,0,0,0,0,Y,carpool,49772764,doha,other,,1,1:00:39 AM
01-01-15 3:00,Bronx,132,5,10,30,8,1022.3,0,0,0,0,Y,premium,20164666,bishoy,male,,1,2:55:06 AM
01-01-15 3:00,Brooklyn,1601,5,10,30,8,1022.3,0,0,0,0,Y,economy,99508682,abdallah,female,,1,1:20:58 PM
01-01-15 3:00,EWR,0,5,10,30,8,1022.3,0,0,0,0,Y,accessibility,89635308,toka,female,,1,1:59:49 AM
01-01-15 3:00,Manhattan,4577,5,10,30,8,1022.3,0,0,0,0,Y,carpool,94215276,amira,female,,1,7:06:17 AM
01-01-15 3:00,Queens,440,5,10,30,8,1022.3,0,0,0,0,Y,premium,5030353,ibrahim,male,,1,4:12:37 PM
01-01-15 3:00,Staten Island,12,5,10,30,8,1022.3,0,0,0,0,Y,carpool,20045125,abdulrahman,other,,1,11:00:05 PM
01-01-15 3:00,NA,1,5,10,30,8,1022.3,0,0,0,0,Y,accessibility,64123641,ibrahim,other,,1,3:30:09 PM
01-01-15 4:00,Bronx,128,5,10,29,9,1022,0,0,0,0,Y,premium,18055665,bishoy,male,,1,10:08:13 AM
01-01-15 4:00,Brooklyn,1390,5,10,29,9,1022,0,0,0,0,Y,economy,82830812,mahmoud,other,,1,10:31:43 PM
01-01-15 4:00,EWR,0,5,10,29,9,1022,0,0,0,0,Y,carpool,89514848,safaa,female,,1,4:08:31 AM
01-01-15 4:00,Manhattan,3003,5,10,29,9,1022,0,0,0,0,Y,accessibility,53368480,yara,male,,1,2:16:38 AM
01-01-15 4:00,Queens,344,5,10,29,9,1022,0,0,0,0,Y,carpool,78930963,sameh,female,,1,10:13:24 PM
01-01-15 4:00,Staten Island,5,5,10,29,9,1022,0,0,0,0,Y,premium,71397313,yara,other,,1,11:14:38 PM
01-01-15 4:00,NA,2,5,10,29,9,1022,0,0,0,0,Y,economy,70779097,nada,male,,1,2:54:24 PM
01-01-15 5:00,Bronx,87,5,10,28,9,1021.8,0,0,0,0,Y,economy,76650596,amira,male,,1,5:49:54 PM
01-01-15 5:00,Brooklyn,759,5,10,28,9,1021.8,0,0,0,0,Y,premium,64721600,kareem,male,,1,9:45:29 AM
01-01-15 5:00,EWR,0,5,10,28,9,1021.8,0,0,0,0,Y,carpool,70558974,sarah,other,,1,3:59:54 AM
01-01-15 5:00,Manhattan,1313,5,10,28,9,1021.8,0,0,0,0,Y,accessibility,17014869,abdulrahman,female,,1,1:43:57 AM
01-01-15 5:00,Queens,241,5,10,28,9,1021.8,0,0,0,0,Y,carpool,50005073,abdulrahman,female,,1,7:41:17 AM
01-01-15 5:00,Staten Island,3,5,10,28,9,1021.8,0,0,0,0,Y,carpool,4401946,ibrahim,male,,1,6:14:27 PM
01-01-15 5:00,NA,3,5,10,28,9,1021.8,0,0,0,0,Y,premium,100588113,rahmah,female,,1,2:18:15 AM
01-01-15 6:00,Bronx,65,10,10,28,8,1020.7,0,0,0,0,Y,carpool,6797217,sameh,other,,1,6:28:40 AM
01-01-15 6:00,Brooklyn,457,10,10,28,8,1020.7,0,0,0,0,Y,economy,29341004,amira,female,,1,10:22:05 PM
01-01-15 6:00,EWR,0,10,10,28,8,1020.7,0,0,0,0,Y,accessibility,42465962,malek,female,,1,7:28:43 PM
01-01-15 6:00,Manhattan,672,10,10,28,8,1020.7,0,0,0,0,Y,premium,14005997,yousef,male,,1,3:07:22 AM
01-01-15 6:00,Queens,148,10,10,28,8,1020.7,0,0,0,0,Y,economy,70083867,sabry,male,,1,12:52:07 PM
01-01-15 6:00,Staten Island,0,10,10,28,8,1020.7,0,0,0,0,Y,premium,56060617,hadeer,female,,1,3:25:34 PM
01-01-15 7:00,Bronx,25,9,10,28,10,1020.5,0,0,0,0,Y,carpool,12670664,hadeer,other,,1,1:32:45 PM
01-01-15 7:00,Brooklyn,270,9,10,28,10,1020.5,0,0,0,0,Y,accessibility,65157454,hadeer,other,,1,1:42:19 AM
01-01-15 7:00,EWR,0,9,10,28,10,1020.5,0,0,0,0,Y,economy,23949717,toka,male,,1,4:46:02 AM
01-01-15 7:00,Manhattan,431,9,10,28,10,1020.5,0,0,0,0,Y,economy,184824,khalid,male,,1,4:19:06 PM
01-01-15 7:00,Queens,95,9,10,28,10,1020.5,0,0,0,0,Y,accessibility,10710434,yousef,female,,1,6:41:14 PM
01-01-15 7:00,Staten Island,0,9,10,28,10,1020.5,0,0,0,0,Y,carpool,8069250,mohamod,other,,1,2:09:35 AM
01-01-15 8:00,Bronx,17,7,10,27,9,1020.5,0,0,0,0,Y,accessibility,47140098,moaz,male,,1,1:43:06 AM
01-01-15 8:00,Brooklyn,165,7,10,27,9,1020.5,0,0,0,0,Y,economy,44346317,khalid,other,,1,5:29:06 AM
01-01-15 8:00,EWR,0,7,10,27,9,1020.5,0,0,0,0,Y,premium,42290729,doha,male,,1,10:00:03 AM
01-01-15 8:00,Manhattan,329,7,10,27,9,1020.5,0,0,0,0,Y,carpool,72229409,hadeer,female,,1,7:18:05 PM
01-01-15 8:00,Queens,69,7,10,27,9,1020.5,0,0,0,0,Y,carpool,14509399,malek,male,,1,5:13:54 AM
01-01-15 8:00,Staten Island,0,7,10,27,9,1020.5,0,0,0,0,Y,carpool,55459353,kareem,other,,1,5:46:31 PM
01-01-15 9:00,Bronx,13,3,10,27,7,1020,0,0,0,0,Y,economy,101331399,khalid,other,,1,3:34:32 PM
01-01-15 9:00,Brooklyn,149,3,10,27,7,1020,0,0,0,0,Y,carpool,85007028,nada,other,,1,10:00:47 AM
